Borough,Sex,Race/Ethnicity,Population
Bronx,Male,"White, non-Hispanic","73,573"
Bronx,Male,"Black, non-Hispanic","191,245"
Bronx,Male,Hispanic,"348,435"
Bronx,Male,"Asian/Pacific Islander, non-Hispanic","23,284"
Bronx,Male,"Other races, non-Hispanic","13,096"
Bronx,Female,"White, non-Hispanic","77,636"
Bronx,Female,"Black, non-Hispanic","225,450"
Bronx,Female,Hispanic,"392,978"
Bronx,Female,"Asian/Pacific Islander, non-Hispanic","24,449"
Bronx,Female,"Other races, non-Hispanic","14,962"
Brooklyn,Male,"White, non-Hispanic","434,748"
Brooklyn,Male,"Black, non-Hispanic","350,041"
Brooklyn,Male,Hispanic,"243,007"
Brooklyn,Male,"Asian/Pacific Islander, non-Hispanic","127,930"
Brooklyn,Male,"Other races, non-Hispanic","25,652"
Brooklyn,Female,"White, non-Hispanic","458,558"
Brooklyn,Female,"Black, non-Hispanic","449,025"
Brooklyn,Female,Hispanic,"253,278"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic","132,832"
Brooklyn,Female,"Other races, non-Hispanic","29,629"
Manhattan,Male,"White, non-Hispanic","364,653"
Manhattan,Male,"Black, non-Hispanic","94,216"
Manhattan,Male,Hispanic,"190,172"
Manhattan,Male,"Asian/Pacific Islander, non-Hispanic","78,494"
Manhattan,Male,"Other races, non-Hispanic","16,906"
Manhattan,Female,"White, non-Hispanic","396,840"
Manhattan,Female,"Black, non-Hispanic","111,124"
Manhattan,Female,Hispanic,"213,405"
Manhattan,Female,"Asian/Pacific Islander, non-Hispanic","99,663"
Manhattan,Female,"Other races, non-Hispanic","20,400"
Queens,Male,"White, non-Hispanic","299,763"
Queens,Male,"Black, non-Hispanic","177,208"
Queens,Male,Hispanic,"308,754"
Queens,Male,"Asian/Pacific Islander, non-Hispanic","248,442"
Queens,Male,"Other races, non-Hispanic","45,636"
Queens,Female,"White, non-Hispanic","316,964"
Queens,Female,"Black, non-Hispanic","218,673"
Queens,Female,Hispanic,"304,996"
Queens,Female,"Asian/Pacific Islander, non-Hispanic","260,986"
Queens,Female,"Other races, non-Hispanic","49,300"
Staten Island,Male,"White, non-Hispanic","145,414"
Staten Island,Male,"Black, non-Hispanic","20,659"
Staten Island,Male,Hispanic,"40,316"
Staten Island,Male,"Asian/Pacific Islander, non-Hispanic","16,892"
Staten Island,Male,"Other races, non-Hispanic","4,008"
Staten Island,Female,"White, non-Hispanic","154,755"
Staten Island,Female,"Black, non-Hispanic","23,654"
Staten Island,Female,Hispanic,"40,735"
Staten Island,Female,"Asian/Pacific Islander, non-Hispanic","17,942"
Staten Island,Female,"Other races, non-Hispanic","4,355"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
